abstract,authorids,authors,conflicts,keywords,paper_id,paperhash,title,tl;dr,decision,forum_link,pdf_link
"Maximum entropy modeling is a flexible and popular framework for formulating statistical models given partial knowledge. In this paper, rather than the traditional method of optimizing over the continuous density directly, we learn a smooth and invertible transformation that maps a simple distribution to the desired maximum entropy distribution. Doing so is nontrivial in that the objective being maximized (entropy) is a function of the density itself.  By exploiting recent developments in normalizing flow networks, we cast the maximum entropy problem into a finite-dimensional constrained optimization, and solve the problem by combining stochastic optimization with the augmented Lagrangian method. Simulation results demonstrate the effectiveness of our method, and applications to finance and computer vision show the flexibility and accuracy of using maximum entropy flow networks.","gl2480@columbia.edu, yg2312@columbia.edu, jpc2181@columbia.edu","Gabriel Loaiza-Ganem *, Yuanjun Gao *, John P. Cunningham",columbia.edu,,H1acq85gx,|maximum_entropy_flow_networks,Maximum Entropy Flow Networks,,Accept (Poster),https://openreview.net/forum?id=H1acq85gx&noteId=H1acq85gx,https://openreview.net/pdf?id=H1acq85gx
"The reparameterization trick enables optimizing large scale stochastic computation graphs via gradient descent. The essence of the trick is to refactor each stochastic node into a differentiable function of its parameters and a random variable with fixed distribution. After refactoring, the gradients of the loss propagated by the chain rule through the graph are low variance unbiased estimators of the gradients of the expected loss. While many continuous random variables have such reparameterizations, discrete random variables lack useful reparameterizations due to the discontinuous nature of discrete states. In this work we introduce Concrete random variables -- continuous relaxations of discrete random variables. The Concrete distribution is a new family of distributions with closed form densities and a simple reparameterization. Whenever a discrete stochastic node of a computation graph can be refactored into a one-hot bit representation that is treated continuously, Concrete stochastic nodes can be used with automatic differentiation to produce low-variance biased gradients of objectives (including objectives that depend on the log-probability of latent stochastic nodes) on the corresponding discrete graph. We demonstrate the effectiveness of Concrete relaxations on density estimation and structured prediction tasks using neural networks.","cmaddis@stats.ox.ac.uk, amnih@google.com, y.w.teh@stats.ox.ac.uk","Chris J. Maddison, Andriy Mnih, Yee Whye Teh","google.com, stats.ox.ac.uk, cs.toronto.edu","Deep learning, Unsupervised Learning, Structured prediction",S1jE5L5gl,maddison|the_concrete_distribution_a_continuous_relaxation_of_discrete_random_variables,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,Relaxed reparameterization trick for discrete stochastic units.,Accept (Poster),https://openreview.net/forum?id=S1jE5L5gl&noteId=S1jE5L5gl,http://www.stats.ox.ac.uk/~cmaddis/pubs/concrete.pdf
"We introduce a method to stabilize Generative Adversarial Networks (GANs) by defining the generator objective with respect to an unrolled optimization of the discriminator. This allows training to be adjusted between using the optimal discriminator in the generator's objective, which is ideal but infeasible in practice, and using the current value of the discriminator, which is often unstable and leads to poor solutions. We show how this technique solves the common problem of mode collapse, stabilizes training of GANs with complex recurrent generators, and increases diversity and coverage of the data distribution by the generator.","lmetz@google.com, poole@cs.stanford.edu, pfau@google.com, jaschasd@google.com","Luke Metz, Ben Poole, David Pfau, Jascha Sohl-Dickstein",google.com,"Deep learning, Unsupervised Learning, Optimization",BydrOIcle,metz|unrolled_generative_adversarial_networks,Unrolled Generative Adversarial Networks,We introduce a method to stabilize Generative Adversarial Networks by defining the generator objective with respect to an unrolled optimization of the discriminator.,Accept (Poster),https://openreview.net/forum?id=BydrOIcle&noteId=BydrOIcle,https://openreview.net/pdf?id=BydrOIcle
"In this paper, we propose TopicRNN, a recurrent neural network (RNN)-based language model designed to directly capture the global semantic meaning relating words in a document via latent topics. Because of their sequential nature, RNNs are good at capturing the local structure of a word sequence – both semantic and syntactic – but might face difficulty remembering long-range dependencies. Intuitively, these long-range dependencies are of semantic nature. In contrast, latent topic models are able to capture the global underlying semantic structure of a document but do not account for word ordering. The proposed TopicRNN model integrates the merits of RNNs and latent topic models: it captures local (syntactic) dependencies using an RNN and global (semantic) dependencies using latent topics. Unlike previous work on contextual RNN language modeling, our model is learned end-to-end. Empirical results on word prediction show that TopicRNN outperforms existing contextual RNN baselines. In addition, TopicRNN can be used as an unsupervised feature extractor for documents. We do this for sentiment analysis on the IMDB movie review dataset and report an error rate of 6.28%. This is comparable to the state-of-the-art 5.91% resulting from a semi-supervised approach. Finally, TopicRNN also yields sensible topics, making it a useful alternative to document models such as latent Dirichlet allocation.","abd2141@columbia.edu, chowang@microsoft.com, jfgao@microsoft.com, jpaisley@columbia.edu","Adji B. Dieng, Chong Wang, Jianfeng Gao, John Paisley","microsoft.com, columbia.edu","Natural language processing, Deep learning",rJbbOLcex,dieng|topicrnn_a_recurrent_neural_network_with_longrange_semantic_dependency,TopicRNN: A Recurrent Neural Network with Long-Range Semantic Dependency,,Accept (Poster),https://openreview.net/forum?id=rJbbOLcex&noteId=rJbbOLcex,https://openreview.net/pdf?id=rJbbOLcex
"Current language modeling architectures often use recurrent neural networks. Recently, various methods for incorporating differentiable memory into these architectures have been proposed. When predicting the next token, these models query information from a memory of the recent history and thus can facilitate learning mid- and long-range dependencies. However, conventional attention models produce a single output vector per time step that is used for predicting the next token as well as the key and value of a differentiable memory of the history of tokens. In this paper, we propose a key-value attention mechanism that produces separate representations for the key and value of a memory, and for a representation that encodes the next-word distribution. This usage of past memories outperforms existing memory-augmented neural language models on two corpora. Yet, we found that it mainly utilizes past memory only of the previous five representations. This led to the unexpected main finding that a much simpler model which simply uses a concatenation of output representations from the previous three-time steps is on par with more sophisticated memory-augmented neural language models.","michal.daniluk.15@ucl.ac.uk, t.rocktaschel@cs.ucl.ac.uk, j.welbl@cs.ucl.ac.uk, s.riedel@cs.ucl.ac.uk","Michał Daniluk, Tim Rocktäschel, Johannes Welbl, Sebastian Riedel","cs.ucl.ac.uk, ucl.ac.uk, google.com, informatik.hu-berlin.de, cs.umass.edu","Natural language processing, Deep learning",ByIAPUcee,daniluk|frustratingly_short_attention_spans_in_neural_language_modeling,Frustratingly Short Attention Spans in Neural Language Modeling,We investigate various memory-augmented neural language models and compare them against state-of-the-art architectures.,Accept (Poster),https://openreview.net/forum?id=ByIAPUcee&noteId=ByIAPUcee,https://openreview.net/pdf?id=ByIAPUcee
"Segmentation and labeling of high dimensional time series data has wide applications in behavior understanding and medical diagnosis. Due to the difficulty in obtaining the label information for high dimensional data, realizing this objective in an unsupervised way is highly desirable. Hidden Semi-Markov Model (HSMM) is a classical tool for this problem. However, existing HSMM and its variants has simple conditional assumptions of observations, thus the ability to capture the nonlinear and complex dynamics within segments is limited. To tackle this limitation, we propose to incorporate the Recurrent Neural Network (RNN) to model the generative process in HSMM, resulting the Recurrent HSMM (R-HSMM). To accelerate the inference while preserving accuracy, we designed a structure encoding function to mimic the exact inference. By generalizing the penalty method to distribution space, we are able to train the model and the encoding function simultaneously. Empirical results show that the proposed R-HSMM achieves the state-of-the-art performances on both synthetic and real-world datasets.","hanjundai@gatech.edu, bodai@gatech.edu, ymzhang@nlpr.ia.ac.cn, sli370@gatech.edu, lsong@cc.gatech.edu","Hanjun Dai, Bo Dai, Yan-Ming Zhang, Shuang Li, Le Song","gatech.edu, nlpr.ia.ac.cn, purdue.edu","Deep learning, Unsupervised Learning, Structured prediction",HJGODLqgx,dai|recurrent_hidden_semimarkov_model,Recurrent Hidden Semi-Markov Model,We propose to incorporate the RNN to model the generative process in Hidden Semi-Markov Model for unsupervised segmentation and labeling.,Accept (Poster),https://openreview.net/forum?id=HJGODLqgx&noteId=HJGODLqgx,https://openreview.net/pdf?id=HJGODLqgx
"We introduce Deep Variational Bayes Filters (DVBF), a new method for unsupervised learning and identification of latent Markovian state space models. Leveraging recent advances in Stochastic Gradient Variational Bayes, DVBF can overcome intractable inference distributions via variational inference. Thus, it can handle highly nonlinear input data with temporal and spatial dependencies such as image sequences without domain knowledge. Our experiments show that enabling backpropagation through transitions enforces state space assumptions and significantly improves information content of the latent embedding. This also enables realistic long-term prediction.","karlma@in.tum.de, m.soelch@tum.de, bayer.justin@googlemail.com, smagt@brml.org","Maximilian Karl, Maximilian Soelch, Justin Bayer, Patrick van der Smagt","tum.de, tu-darmstadt.de, iit.it, fortiss.org","Deep learning, Unsupervised Learning",HyTqHL5xg,karl|deep_variational_bayes_filters_unsupervised_learning_of_state_space_models_from_raw_data,Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,,Accept (Poster),https://openreview.net/forum?id=HyTqHL5xg&noteId=HyTqHL5xg,https://openreview.net/pdf?id=HyTqHL5xg
"Generative adversarial networks (GANs) are a framework for producing a generative model by way of a two-player minimax game.  In this paper, we propose the \emph{Generative Multi-Adversarial Network} (GMAN), a framework that extends GANs to multiple discriminators. In previous work, the successful training of GANs requires modifying the minimax objective to accelerate training early on. In contrast, GMAN can be reliably trained with the original, untampered objective. We explore a number of design perspectives with the discriminator role ranging from formidable adversary to forgiving teacher.  Image generation tasks comparing the proposed framework to standard GANs demonstrate GMAN produces higher quality samples in a fraction of the iterations when measured by a pairwise GAM-type metric.","idurugkar@cs.umass.edu, imgemp@cs.umass.edu, mahadeva@cs.umass.edu","Ishan Durugkar, Ian Gemp, Sridhar Mahadevan",cs.umass.edu,"Deep learning, Unsupervised Learning, Games",Byk-VI9eg,durugkar|generative_multiadversarial_networks,Generative Multi-Adversarial Networks,GANs with multiple discriminators accelerate training to more robust performance.,Accept (Poster),https://openreview.net/forum?id=Byk-VI9eg&noteId=Byk-VI9eg,https://openreview.net/pdf?id=Byk-VI9eg
"The optimization of deep neural networks can be more challenging than the traditional convex optimization problems due to highly non-convex nature of the loss function, e.g. it can involve pathological landscapes such as saddle-surfaces that can be difficult to escape from for algorithms based on simple gradient descent. In this paper, we attack the problem of optimization of highly non-convex neural networks objectives by starting with a smoothed -- or mollified -- objective function which becomes more complex as the training proceeds.  Our proposition is inspired by the recent studies in continuation methods: similarly to curriculum methods, we begin by learning an easier (possibly convex) objective function and let it evolve during training until it eventually becomes the original, difficult to optimize objective function. The complexity of the mollified networks is controlled by a single hyperparameter that is annealed during training. We show improvements on various difficult optimization tasks and establish a relationship between recent works on continuation methods for neural networks and mollifiers.","gulcehrc@iro.umontreal.ca, marcin-m@post.pl, fvisin@gmail.com, yoshua.umontreal@gmail.com","Caglar Gulcehre, Marcin Moczulski, Francesco Visin, Yoshua Bengio","umontreal.ca, oxford.ac.uk, polimi.it","Deep learning, Optimization",r1G4z8cge,gulcehre|mollifying_networks,Mollifying Networks,"We are proposing a new continuation method for neural networks, that starts from optimizing a convex objective function and gradually during the training the function evolves into more non-convex function.",Accept (Poster),https://openreview.net/forum?id=r1G4z8cge&noteId=r1G4z8cge,https://openreview.net/pdf?id=r1G4z8cge
"Learning an interpretable factorised representation of the independent data generative factors of the world without supervision is an important precursor for the development of artificial intelligence that is able to learn and reason in the same way that humans do. We introduce beta-VAE, a new state-of-the-art framework for automated discovery of interpretable factorised latent representations from raw image data in a completely unsupervised manner. Our approach is a modification of the variational autoencoder (VAE) framework. We introduce an adjustable hyperparameter beta that balances latent channel capacity and independence constraints with reconstruction accuracy. We demonstrate that beta-VAE with appropriately tuned beta > 1 qualitatively outperforms VAE (beta = 1), as well as state of the art unsupervised (InfoGAN) and semi-supervised (DC-IGN) approaches to disentangled factor learning on a variety of datasets (celebA, faces and chairs). Furthermore, we devise a protocol to quantitatively compare the degree of disentanglement learnt by different models, and show that our approach also significantly outperforms all baselines quantitatively. Unlike InfoGAN, beta-VAE is stable to train, makes few assumptions about the data and relies on tuning a single hyperparameter, which can be directly optimised through a hyper parameter search using weakly labelled data or through heuristic visual inspection for purely unsupervised data.","irinah@google.com, lmatthey@google.com, arkap@google.com, cpburgess@google.com, glorotx@google.com, botvinick@google.com, shakir@google.com, lerchner@google.com","Irina Higgins, Loic Matthey, Arka Pal, Christopher Burgess, Xavier Glorot, Matthew Botvinick, Shakir Mohamed, Alexander Lerchner",google.com,,Sy2fzU9gl,higgins|betavae_learning_basic_visual_concepts_with_a_constrained_variational_framework,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,"We introduce beta-VAE, a new state-of-the-art framework for automated discovery of interpretable factorised latent representations from raw image data in a completely unsupervised manner.",Accept (Poster),https://openreview.net/forum?id=Sy2fzU9gl&noteId=Sy2fzU9gl,https://openreview.net/pdf?id=Sy2fzU9gl
"Usually bilingual word vectors are trained ""online''. Mikolov et al. showed they can also be found ""offline""; whereby two pre-trained embeddings are aligned with a linear transformation, using dictionaries compiled from expert knowledge. In this work, we prove that the linear transformation between two spaces should be orthogonal. This transformation can be obtained using the singular value decomposition. We introduce a novel ""inverted softmax"" for identifying translation pairs, with which we improve the precision @1 of Mikolov's original mapping from 34% to 43%, when translating a test set composed of both common and rare English words into Italian. Orthogonal transformations are more robust to noise, enabling us to learn the transformation without expert bilingual signal by constructing a ""pseudo-dictionary"" from the identical character strings which appear in both languages, achieving 40% precision on the same test set. Finally, we extend our method to retrieve the true translations of English sentences from a corpus of 200k Italian sentences with a precision @1 of 68%.","samuel.smith@babylonhealth.com, dt382@cam.ac.uk, steven.hamblin@babylonhealth.com, nils.hammerla@babylonhealth.com","Samuel L. Smith, David H. P. Turban, Steven Hamblin, Nils Y. Hammerla","babylonhealth.com, cam.ac.uk","Natural language processing, Transfer Learning, Applications",r1Aab85gg,smith|offline_bilingual_word_vectors_orthogonal_transformations_and_the_inverted_softmax,"Offline bilingual word vectors, orthogonal transformations and the inverted softmax","We show that a linear transformation between word vector spaces should be orthogonal and can be obtained analytically using the SVD,  and introduce the inverted softmax for information retrieval.",Accept (Poster),https://openreview.net/forum?id=r1Aab85gg&noteId=r1Aab85gg,https://openreview.net/pdf?id=r1Aab85gg
"This article presents the prediction difference analysis method for visualizing the response of a deep neural network to a specific input. When classifying images, the method highlights areas in a given input image that provide evidence for or against a certain class. It overcomes several shortcoming of previous methods and provides great additional insight into the decision making process of classifiers. Making neural network decisions interpretable through visualization is important both to improve models and to accelerate the adoption of black-box classifiers in application areas such as medicine. We illustrate the method in experiments on natural images (ImageNet data), as well as medical images (MRI brain scans).","lmzintgraf@gmail.com, t.s.cohen@uva.nl, tameem.hesham@gmail.com, m.welling@uva.nl","Luisa M Zintgraf, Taco S Cohen, Tameem Adel, Max Welling","uva.nl, vub.ac.be, cifar.ca, uwaterloo.ca, ru.nl, openai.com","Deep learning, Applications",BJ5UeU9xx,zintgraf|visualizing_deep_neural_network_decisions_prediction_difference_analysis,Visualizing Deep Neural Network Decisions: Prediction Difference Analysis,Method for visualizing evidence for and against deep convolutional neural network classification decisions in a given input image.,Accept (Poster),https://openreview.net/forum?id=BJ5UeU9xx&noteId=BJ5UeU9xx,https://openreview.net/pdf?id=BJ5UeU9xx
"Categorical variables are a natural choice for representing discrete structure in the world. However, stochastic neural networks rarely use categorical latent variables due to the inability to backpropagate through samples. In this work, we present an efficient gradient estimator that replaces the non-differentiable sample from a categorical distribution with a differentiable sample from a novel Gumbel-Softmax distribution. This distribution has the essential property that it can be smoothly annealed into a categorical distribution. We show that our Gumbel-Softmax estimator outperforms state-of-the-art gradient estimators on structured output prediction and unsupervised generative modeling tasks with categorical latent variables, and enables large speedups on semi-supervised classification.","ejang@google.com, sg717@cam.ac.uk, poole@cs.stanford.edu","Eric Jang, Shixiang Gu, Ben Poole",google.com,"Deep learning, Semi-Supervised Learning, Optimization, Structured prediction",rkE3y85ee,jang|categorical_reparameterization_with_gumbelsoftmax,Categorical Reparameterization with Gumbel-Softmax,"Simple, differentiable sampling mechanism for categorical variables that can be trained in neural nets via standard backprop.",Accept (Poster),https://openreview.net/forum?id=rkE3y85ee&noteId=rkE3y85ee,https://openreview.net/pdf?id=rkE3y85ee
"We consider the problem of inferring a sequence of hidden states associated with a sequence of observations produced by an individual within a population.  Instead of learning a single sequence model for the population (which does not account for variations within the population), we learn a set of basis sequence models based on different individuals.  The sequence of hidden states for a new individual is inferred in an online fashion by estimating a distribution over the basis models that best explain the sequence of observations of this new individual.  We explain how to do this in the context of hidden Markov models with Gaussian mixture models that are learned based on streaming data by online Bayesian moment matching.  The resulting transfer learning technique is demonstrated with three real-word applications: activity recognition based on smartphone sensors, sleep classification based on electroencephalography data and the prediction of the direction of future packet flows between a pair of servers in telecommunication networks.","pjaini@uwaterloo.ca, chenzhitang2@huawei.com, pablo@veedata.io, edith.law@uwaterloo.ca, lmiddlet@uwaterloo.ca, kregan@uwaterloo.ca, mschaekermann@uwaterloo.ca, g.trimponias@huawei.com, james.tung@uwaterloo.ca, ppoupart@uwaterloo.ca","Priyank Jaini, Zhitang Chen, Pablo Carbajal, Edith Law, Laura Middleton, Kayla Regan, Mike Schaekermann, George Trimponias, James Tung, Pascal Poupart",uwaterloo.ca,"Unsupervised Learning, Transfer Learning, Applications",ByqiJIqxg,jaini|online_bayesian_transfer_learning_for_sequential_data_modeling,Online Bayesian Transfer Learning for Sequential Data Modeling,,Accept (Poster),https://openreview.net/forum?id=ByqiJIqxg&noteId=ByqiJIqxg,https://openreview.net/pdf?id=ByqiJIqxg
"Sequence-to-sequence models rely on a fixed decomposition of the target sequences into a sequence of tokens that may be words, word-pieces or characters. The choice of these tokens and the decomposition of the target sequences into a sequence of tokens is often static, and independent of the input, output data domains. This can potentially lead to a sub-optimal choice of token dictionaries, as the decomposition is not informed by the particular problem being solved. In this paper we present Latent Sequence Decompositions (LSD), a framework in which the decomposition of sequences into constituent tokens is learnt during the training of the model. The decomposition depends both on the input sequence and on the output sequence. In LSD, during training, the model samples decompositions incrementally, from left to right by locally sampling between valid extensions. We experiment with the Wall Street Journal speech recognition task. Our LSD model achieves 12.9% WER compared to a character baseline of 14.8% WER. When combined with a convolutional network on the encoder, we achieve a WER of 9.6%.","williamchan@cmu.edu, yzhang87@mit.edu, qvl@google.com, ndjaitly@google.com","William Chan, Yu Zhang, Quoc Le, Navdeep Jaitly","google.com, cmu.edu, mit.edu","Speech, Applications, Natural language processing, Deep learning",SyQq185lg,chan|latent_sequence_decompositions,Latent Sequence Decompositions,,Accept (Poster),https://openreview.net/forum?id=SyQq185lg&noteId=SyQq185lg,https://openreview.net/pdf?id=SyQq185lg
"Although various scalable deep learning software packages have been proposed, it remains unclear how to best leverage parallel and distributed computing infrastructure to accelerate their training and deployment. Moreover, the effectiveness of existing parallel and distributed systems varies widely based on the neural network architecture and dataset under consideration.  In order to efficiently explore the space of scalable deep learning systems and quickly diagnose their effectiveness for a given problem instance, we introduce an analytical performance model called Paleo. Our key observation is that a neural network architecture carries with it a declarative specification of the computational requirements associated with its training and evaluation. By extracting these requirements from a given architecture and mapping them to a specific point within the design space of software, hardware and communication strategies, Paleo can efficiently and accurately model the expected scalability and performance of a putative deep learning system.  We show that Paleo is robust to the choice of network architecture, hardware, software, communication schemes, and parallelization strategies. We further demonstrate its ability to accurately model various recently published scalability results for CNNs such as NiN, Inception and AlexNet.","hangqi@cs.ucla.edu, sparks@cs.berkeley.edu, ameet@cs.ucla.edu","Hang Qi, Evan R. Sparks, Ameet Talwalkar","cs.ucla.edu, cs.berkeley.edu",Deep learning,SyVVJ85lg,qi|paleo_a_performance_model_for_deep_neural_networks,Paleo: A Performance Model for Deep Neural Networks,Paleo: An analytical performance model for exploring the space of scalable deep learning systems and quickly diagnosing their effectiveness for a given problem instance.,Accept (Poster),https://openreview.net/forum?id=SyVVJ85lg&noteId=SyVVJ85lg,https://openreview.net/pdf?id=SyVVJ85lg
"Policy gradient is an efficient technique for improving a policy in a reinforcement learning setting. However, vanilla online variants are on-policy only and not able to take advantage of off-policy data. In this paper we describe a new technique that combines policy gradient with off-policy Q-learning, drawing experience from a replay buffer. This is motivated by making a connection between the fixed points of the regularized policy gradient algorithm and the Q-values. This connection allows us to estimate the Q-values from the action preferences of the policy, to which we apply Q-learning updates. We refer to the new technique as ‘PGQL’, for policy gradient and Q-learning. We also establish an equivalency between action-value fitting techniques and actor-critic algorithms, showing that regularized policy gradient techniques can be interpreted as advantage function learning algorithms. We conclude with some numerical examples that demonstrate improved data efficiency and stability of PGQL. In particular, we tested PGQL on the full suite of Atari games and achieved performance exceeding that of both asynchronous advantage actor-critic (A3C) and Q-learning.","bodonoghue@google.com, munos@google.com, korayk@google.com, vmnih@google.com","Brendan O'Donoghue, Remi Munos, Koray Kavukcuoglu, Volodymyr Mnih",google.com,"Deep learning, Reinforcement Learning",B1kJ6H9ex,odonoghue|combining_policy_gradient_and_qlearning,Combining policy gradient and Q-learning,We combine a policy gradient style update with a Q-learning style update into a single RL algorithm we call PGQL.,Accept (Poster),https://openreview.net/forum?id=B1kJ6H9ex&noteId=B1kJ6H9ex,https://openreview.net/pdf?id=B1kJ6H9ex
"Unsupervised learning of probabilistic models is a central yet challenging problem in machine learning. Specifically, designing models with tractable learning, sampling, inference and evaluation is crucial in solving this task. We extend the space of such models using real-valued non-volume preserving (real NVP) transformations, a set of powerful invertible and learnable transformations, resulting in an unsupervised learning algorithm with exact log-likelihood computation, exact sampling, exact inference of latent variables, and an interpretable latent space. We demonstrate its ability to model natural images on four datasets through sampling, log-likelihood evaluation and latent variable manipulations.","dinh.laurent@gmail.com, jaschasd@google.com, bengio@google.com","Laurent Dinh, Jascha Sohl-Dickstein, Samy Bengio","umontreal.ca, google.com","Deep learning, Unsupervised Learning",HkpbnH9lx,dinh|density_estimation_using_real_nvp,Density estimation using Real NVP,Efficient invertible neural networks for density estimation and generation,Accept (Poster),https://openreview.net/forum?id=HkpbnH9lx&noteId=HkpbnH9lx,https://openreview.net/pdf?id=HkpbnH9lx
"We propose a reparameterization of LSTM that brings the benefits of batch normalization to recurrent neural networks. Whereas previous works only apply batch normalization to the input-to-hidden transformation of RNNs, we demonstrate that it is both possible and beneficial to batch-normalize the hidden-to-hidden transition, thereby reducing internal covariate shift between time steps.

We evaluate our proposal on various sequential problems such as sequence classification, language modeling and question answering. Our empirical results show that our batch-normalized LSTM consistently leads to faster convergence and improved generalization.","tim.cooijmans@umontreal.ca, nicolas.ballas@umontreal.ca, cesar.laurent@umontreal.ca, caglar.gulcehre@umontreal.ca, aaron.courville@umontreal.ca","Tim Cooijmans, Nicolas Ballas, César Laurent, Çağlar Gülçehre, Aaron Courville","umontreal.ca, google.com","Deep learning, Optimization",r1VdcHcxx,cooijmans|recurrent_batch_normalization,Recurrent Batch Normalization,Make batch normalization work in recurrent neural networks,Accept (Poster),https://openreview.net/forum?id=r1VdcHcxx&noteId=r1VdcHcxx,https://openreview.net/pdf?id=r1VdcHcxx
"Restart techniques are common in gradient-free optimization to deal with multimodal functions. Partial warm restarts are also gaining popularity in gradient-based optimization to improve the rate of convergence in accelerated gradient schemes to deal with ill-conditioned functions. In this paper, we propose a simple warm restart technique for stochastic gradient descent to improve its anytime performance when training deep neural networks. We empirically study its performance on the CIFAR-10 and CIFAR-100 datasets,   
where we demonstrate new state-of-the-art results at 3.14\% and 16.21\%, respectively. We also demonstrate its advantages on a dataset of EEG recordings and on a downsampled version of the ImageNet dataset. Our source code is available at \\ \url{https://github.com/loshchil/SGDR}","ilya@cs.uni-freiburg.de, fh@cs.uni-freiburg.de","Ilya Loshchilov, Frank Hutter",uni-freiburg.de,"Deep learning, Optimization",Skq89Scxx,loshchilov|sgdr_stochastic_gradient_descent_with_warm_restarts,SGDR: Stochastic Gradient Descent with Warm Restarts,We propose a simple warm restart technique for stochastic gradient descent to improve its anytime performance.,Accept (Poster),https://openreview.net/forum?id=Skq89Scxx&noteId=Skq89Scxx,https://openreview.net/pdf?id=Skq89Scxx
"Learning a natural language interface for database tables is a challenging task that involves deep language understanding and multi-step reasoning. The task is often approached by mapping natural language queries to logical forms or programs that provide the desired response when executed on the database. To our knowledge, this paper presents the first weakly supervised, end-to-end neural network model to induce such programs on a real-world dataset. We enhance the objective function of Neural Programmer, a neural network with built-in discrete operations, and apply it on WikiTableQuestions, a natural language question-answering dataset. The model is trained end-to-end with weak supervision of question-answer pairs, and does not require domain-specific grammars, rules, or annotations that are key elements in previous approaches to program induction. The main experimental result in this paper is that a single Neural Programmer model achieves 34.2% accuracy using only 10,000 examples with weak supervision. An ensemble of 15 models, with a trivial combination technique, achieves 37.7% accuracy, which is competitive to the current state-of-the-art accuracy of 37.1% obtained by a traditional natural language semantic parser.","arvind@cs.umass.edu, qvl@google.com, abadi@google.com, mccallum@cs.umass.edu, damodei@openai.com","Arvind Neelakantan, Quoc V. Le, Martin Abadi, Andrew McCallum, Dario Amodei","umass.edu, google.com, openai.com","Natural language processing, Deep learning",ry2YOrcge,neelakantan|learning_a_natural_language_interface_with_neural_programmer,Learning a Natural Language Interface with Neural Programmer,"To our knowledge, this paper presents the first weakly supervised, end-to-end neural network model to induce programs on a real-world  dataset.",Accept (Poster),https://openreview.net/forum?id=ry2YOrcge&noteId=ry2YOrcge,https://openreview.net/pdf?id=ry2YOrcge
"We introduce a hybrid CPU/GPU version of the Asynchronous Advantage Actor-Critic (A3C) algorithm, currently the state-of-the-art method in reinforcement learning for various gaming tasks. We analyze its computational traits and concentrate on aspects critical to leveraging the GPU's computational power. We introduce a system of queues and a dynamic scheduling strategy, potentially helpful for other asynchronous algorithms as well. Our hybrid CPU/GPU version of A3C, based on TensorFlow, achieves a significant speed up compared to a CPU implementation; we make it publicly available to other researchers at https://github.com/NVlabs/GA3C.","mb2@uiuc.edu, ifrosio@nvidia.com, styree@nvidia.com, jclemons@nvidia.com, jkautz@nvidia.com","Mohammad Babaeizadeh, Iuri Frosio, Stephen Tyree, Jason Clemons, Jan Kautz","nvidia.com, unimi.it, mit.edu, ucl.ac.uk, wustl.edu, cornell.edu, fb.com, illinois.edu, microsoft.com, sharif.edu, umich.edu",Reinforcement Learning,r1VGvBcxl,babaeizadeh|reinforcement_learning_through_asynchronous_advantage_actorcritic_on_a_gpu,Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,Implementation and analysis of the computational aspect of a GPU version of the Asynchronous Advantage Actor-Critic (A3C) algorithm,Accept (Poster),https://openreview.net/forum?id=r1VGvBcxl&noteId=r1VGvBcxl,https://openreview.net/pdf?id=r1VGvBcxl
"Learning to navigate in complex environments with dynamic elements is an important milestone in developing AI agents. In this work we formulate the navigation question as a reinforcement learning problem and show that data efficiency and task performance can be dramatically improved by relying on additional auxiliary tasks to bootstrap learning. In particular we consider jointly learning the goal-driven reinforcement learning problem with an unsupervised depth prediction task and a self-supervised loop closure classification task. Using this approach we can learn to navigate from raw sensory input in complicated 3D mazes, approaching human-level performance even under conditions where the goal location changes frequently. We provide detailed analysis of the agent behaviour, its ability to localise, and its network activity dynamics, that show that the agent implicitly learns key navigation abilities, with only sparse rewards and without direct supervision.","piotrmirowski@google.com, razp@google.com, fviola@google.com, soyer@google.com, aybd@google.com, abanino@google.com, mdenil@google.com, goroshin@google.com, sifre@google.com, korayk@google.com, dkumaran@google.com, raia@google.com","Piotr Mirowski, Razvan Pascanu, Fabio Viola, Hubert Soyer, Andy Ballard, Andrea Banino, Misha Denil, Ross Goroshin, Laurent Sifre, Koray Kavukcuoglu, Dharshan Kumaran, Raia Hadsell",google.com,"Deep learning, Reinforcement Learning",SJMGPrcle,mirowski|learning_to_navigate_in_complex_environments,Learning to Navigate in Complex Environments,"We proposed a deep RL method, augmented with memory and auxiliary learning targets, for training agents to navigate within large and visually rich environments that include frequently changing start and goal locations",Accept (Poster),https://openreview.net/forum?id=SJMGPrcle&noteId=SJMGPrcle,https://openreview.net/pdf?id=SJMGPrcle
